Loss_Di,Loss_Dv,Loss_Gi,Loss_Gv,Di_real_mean,Di_fake_mean,Dv_real_mean,Dv_fake_mean
0.6491,1.1049,2.6923,1.7246,0.7003,0.1677,0.6086,0.3216
0.5572,0.9282,2.8196,1.4587,0.9151,0.1926,0.5821,0.2970
0.7423,0.7549,2.5329,2.6238,0.6443,0.1203,0.8743,0.3203
0.6300,0.5897,2.7572,2.6284,0.8142,0.2077,0.7618,0.1613
0.5156,1.1437,3.5007,0.9366,0.8600,0.1508,0.3475,0.1074
0.7179,1.6220,2.4809,3.4593,0.5737,0.0546,0.8395,0.7180
0.6766,1.3070,3.4806,1.8191,0.6929,0.1636,0.3017,0.0883
0.4394,0.8951,3.8494,2.2861,0.8964,0.0660,0.7526,0.3629
0.7593,0.9573,3.3135,1.5848,0.7383,0.2656,0.4118,0.0728
0.7377,0.7737,2.5816,3.0502,0.6032,0.0751,0.9688,0.3217
0.3673,0.7053,3.6283,2.9326,0.8471,0.0270,0.5836,0.1053
0.7278,0.4713,3.8955,3.1615,0.9021,0.2237,0.9546,0.0946
0.5537,0.5418,3.6637,3.1522,0.6992,0.0400,0.7655,0.1129
0.4526,0.4372,3.4793,3.2356,0.8671,0.1058,0.7746,0.0530
0.7363,0.6201,2.2745,2.5179,0.5611,0.0875,0.7827,0.2052
0.8283,0.6588,2.3704,2.8329,0.6049,0.1770,0.6610,0.1500
0.9214,0.7595,3.2293,2.7814,0.7408,0.3553,0.8917,0.3243
0.3340,0.6046,6.2249,2.9449,0.9209,0.0019,0.6351,0.0687
0.4213,0.7143,3.5535,4.4795,0.8511,0.0495,0.8799,0.2449
0.3932,0.5255,3.5593,2.9352,0.8078,0.0351,0.7330,0.0753
0.4626,0.5278,3.0412,2.1338,0.8501,0.0774,0.7219,0.0980
0.5183,0.8373,4.4280,5.5337,0.9095,0.1703,0.9423,0.3674
0.9565,1.3767,1.6806,0.8522,0.4218,0.0466,0.2440,0.0545
0.8472,1.5928,3.3452,3.2219,0.9641,0.3212,0.9798,0.5265
0.5062,0.5800,4.4008,3.6472,0.7437,0.0195,0.6561,0.0771
0.6125,0.4932,3.9850,3.6495,0.8092,0.1655,0.8529,0.1181
0.6074,0.4394,2.7643,3.0677,0.6385,0.0369,0.8299,0.0747
